Row,Vin,Year,Make,Model
B11,5LMEU88H15ZJ14622,2005,LINCOLN,AVIATOR
B12,1LNBM82FXKY632999,1989,LINCOLN,TOWN CAR
B16,5LMPU28L4XLJ05347,1999,LINCOLN,NAVIGATOR
B12,1LNLM984XRY605991,1994,LINCOLN,CONT-LINC
B14,5LMPU28A7XLJ30337,1999,LINCOLN,NAVIGATOR
B09,5LMFU28576LJ05497,2006,LINCOLN,NAVIGATOR
B09,3LNHL2JC0BR760085,2011,LINCOLN,MKZ
B12,1MEBM50U6KG661974,1989,MERCURY,SABLE
B15,1MEFM50285A603047,2005,MERCURY,SABLE
B16,3MEFM15P6WR600880,1998,MERCURY,TRACER
B16,4M2CU561X6DJ04229,2006,MERCURY,MARINER
B15,1ZWFT61L225608372,2002,MERCURY,COUGAR
B16,4M2ZU86K74UJ19627,2004,MERCURY,MOUNTNEER
B13,1MEHM41145G603312,2005,MERCURY,MONTEGO
B10,1MEFM53U4YG609118,2000,MERCURY,SABLE
B11,1MEFM41125G627356,2005,MERCURY,MONTEGO
B10,1MELM62WXTH600860,1996,MERCURY,COUGAR
B11,1MEPM6044MH616735,1991,MERCURY,COUGAR
B09,2MEFM75W3YX700546,2000,MERCURY,GRAND MAR
A02,8H15F592867,1968,MERCURY,CYCLONE
B13,4M2DU55P3VUJ08714,1997,MERCURY,MOUNTNEER
B16,2MEFM74W8YX649904,2000,MERCURY,GRAND MAR
B13,4M2DU55P3VUJ26243,1997,MERCURY,MOUNTNEER
B15,2MEFM75W82X615581,2002,MERCURY,GRAND MAR
B16,1ZWFT61L4X5678656,1999,MERCURY,COUGAR
B15,2MEFM75WX2X633435,2002,MERCURY,GRAND MAR
B15,3MEHM08Z28R655927,2008,MERCURY,MILAN
B12,1MELM50U9RG642320,1994,MERCURY,SABLE
B14,1FMYU04171KA78691,2001,FORD,ESCAPE
B10,F26FPHJ4402,1980,FORD,F150
B12,1FDEE14F9EHB10447,1984,FORD,E150
B11,1FMZU34E0XUB64012,1999,FORD,EXPLORER
B15,1FTZR15X8WPA68667,1998,FORD,RANGER
B09,1FTCR10A5VUD50659,1997,FORD,RANGER
B16,1FDKE37GXKHB37333,1989,FORD,E350
B11,1FTCR10A3TPA99071,1996,FORD,RANGER
B10,1FMYU03191KB24149,2001,FORD,ESCAPE
B10,1FMFU18L8VLA88378,1997,FORD,EXPEDITON
B16,,1990,FORD,BRONCO
B09,1FMZU34X9XUA30925,1999,FORD,EXPLORER
B17,1FTYR14U0WPA80685,1998,FORD,RANGER
B09,1FTCR15U5VPB56196,1997,FORD,RANGER
B13,1FTLR4FE2BPB10944,2011,FORD,RANGER
B13,1FMEU31K57UA07164,2007,FORD,SPORTTRAC
B12,1FMCU49H08KA65850,2008,FORD,ESCAPE
B13,1FMFU18L6VLB78046,1997,FORD,EXPEDITON
B13,1FMEU74E26UA37038,2006,FORD,EXPLORER
B09,1FMZU34EXXZB27424,1999,FORD,EXPLORER
B17,1FTZR15E71TA55052,2001,FORD,RANGER
A01,F358CE94604,1969,FORD,F100
B14,1FMDU34X4SUB83831,1995,FORD,EXPLORER
B16,1FMDU34X5TUA60055,1996,FORD,EXPLORER
B22,1FMCU93Z68KB51968,2008,FORD,ESCAPE
B14,1FMFU18LXVLC37227,1997,FORD,EXPEDITON
B10,1FMEU72E16UB28255,2006,FORD,EXPLORER
B09,1FMZU35P4XUA32709,1999,FORD,EXPLORER
B22,1FMZU34E1WZA19644,1998,FORD,EXPLORER
A01,F15SR024289,1976,FORD,F150
B12,1FMDU34X7SUB67235,1995,FORD,EXPLORER
B11,1FMDU35P8TZB44498,1996,FORD,EXPLORER
B16,1FMCU94168KE18096,2008,FORD,ESCAPE
B11,1FTDX1765VKB23351,1997,FORD,F150
B10,1FMEU73E38UA84339,2008,FORD,EXPLORER
B15,1FMZU34E7XZA90459,1999,FORD,EXPLORER
B13,1FMZU34E0WZA80600,1998,FORD,EXPLORER
B17,1FTHX26G0LKA58598,1990,FORD,F250
B14,1FMDU34X0SUB23769,1995,FORD,EXPLORER
B16,1FMZU63KX3ZA77952,2003,FORD,EXPLORER
B10,1FMPU16L81LA91525,2001,FORD,EXPEDITON
B15,1FTEX08L5VKC39071,1997,FORD,F150
B15,1FMEU73EX8UA77369,2008,FORD,EXPLORER
B13,1FMZU73E3YZC28377,2000,FORD,EXPLORER
B12,1FMZU34E5WZB65786,1998,FORD,EXPLORER
B13,1FMHK8D80BGA52150,2011,FORD,EXPLORER
B15,1FMZU73E02UA74294,2002,FORD,EXPLORER
B11,1FTHF26G9KKA43440,1989,FORD,F250
B13,1FTCR11T8HUB00448,1987,FORD,RANGER
B14,1FTDX1865VKB31724,1997,FORD,F150
B11,1FMCU0GXXDUD70581,2013,FORD,ESCAPE
B17,1FMZU73E5YZB98136,2000,FORD,EXPLORER
B22,1FTEX15Y2JKA69946,1988,FORD,F150
B09,2FTRF17213CA51961,2003,FORD,F150
B15,1FMZU73W62UC66070,2002,FORD,EXPLORER
B10,1FTHF25G8KPB23994,1989,FORD,F250
B12,1FTCR11T6HUD38721,1987,FORD,RANGER
B12,1FTDX1860VKA22085,1997,FORD,F150
B16,1FMCU9G99FUA63427,2015,FORD,ESCAPE
B16,2FTDF15N1LCA78780,1990,FORD,F150
B22,1FTPW14565KB96594,2005,FORD,F150
B10,1FTFX28L4VKC47923,1997,FORD,F250
B13,1FMZU73E12ZA15984,2002,FORD,EXPLORER
B10,1FTHF25H0KPA64397,1989,FORD,F250
B14,1FMDU34X5RUE62926,1994,FORD,EXPLORER
B10,2FTDF1721VCA49611,1997,FORD,F150
B16,1FMPU18L3WLA45413,1998,FORD,EXPEDITON
B09,1FTRW14558FB52561,2008,FORD,F150
B17,1FTPW14535KD05237,2005,FORD,F150
B11,1FTRX08W3XKB50419,1999,FORD,F150
B12,1FMDU73E72ZB21723,2002,FORD,EXPLORER
B12,1FMCU03193KE01993,2003,FORD,ESCAPE
B13,1FMDU34X0RUA48663,1994,FORD,EXPLORER
B11,1FTZR15E96PA18598,2006,FORD,RANGER
B10,1FMFU18L2WLA03732,1998,FORD,EXPEDITON
B09,1FTHX26M8PKB20874,1993,FORD,F250
B10,1FTHX26G7SKA29887,1995,FORD,F250
B12,1FTYR10D48PB14524,2008,FORD,RANGER
B09,1FMZU73E62ZA92818,2002,FORD,EXPLORER
B15,1FMCU0D78AKB18436,2010,FORD,ESCAPE
B17,1FMZU72E61ZA76036,2001,FORD,EXPLORER
B18,1FMEU63E67UA72498,2007,FORD,EXPLORER
B10,1FMPU18L8YLB99151,2000,FORD,EXPEDITON
B14,1FTNE24L01HB46506,2001,FORD,VFORD150
B12,1FTNE24L1WHA99770,1998,FORD,E250
B10,1FMPU16L93LC52290,2003,FORD,EXPEDITON
B16,1FMZU73E02ZC33575,2002,FORD,EXPLORER
B10,1FMYU93166KC24401,2006,FORD,ESCAPE
B17,1FTEX14N5SKB97977,1995,FORD,F150
B17,1FMRU17W23LA57309,2003,FORD,EXPEDITON
B15,1FMPU16LXYLB83603,2000,FORD,EXPEDITON
B18,1FDSE35L84HB04768,2004,FORD,E350SD
B14,1FMZU73K74UA86449,2004,FORD,EXPLORER
A01,F25JRS42261,1973,FORD,F250
B13,1FMRU1665YLB01019,2000,FORD,EXPEDITON
B10,1FMYU93124KA27660,2004,FORD,ESCAPE
B16,1FMCU04162KD33231,2002,FORD,ESCAPE
B15,1FTCR14U1RPC54083,1994,FORD,RANGER
B16,1FTCR11T8LPB52542,1990,FORD,RANGER
B16,1FMCU931X5KB37464,2005,FORD,ESCAPE
B13,1FMFU17L94LB05611,2004,FORD,EXPEDITON
B11,1FMYU02Z45KA80123,2005,FORD,ESCAPE
B14,1FTCR10AXNPA30624,1992,FORD,RANGER
B16,1FMCU93105KA84323,2005,FORD,ESCAPE
B14,1FMDU34X7PUB96807,1993,FORD,EXPLORER
B17,1FMYU93185KA39247,2005,FORD,ESCAPE
B09,2FTZX1867WCB01913,1998,FORD,F150
B15,1FTZX18W0WKB11677,1998,FORD,F150
B09,1FTZF1722YNB93771,2000,FORD,F150
B16,1FTRX18L5YNA35106,2000,FORD,F150
A01,128AS0080846,1978,FIAT,X1 9
A01,128AS10110624,1979,FIAT,X1 9
A02,828BC1610372,1979,FIAT,LANCIA
A19,2CNBJ13C5Y6903521,2000,GEO,TRACKER
A07,2C1MR2297T6741592,1996,GEO,METRO
A24,1G1JE5SH2D4172477,2013,CHEVROLET,SONIC
A20,1G1LT53T5ME210151,1991,CHEVROLET,CORSICA
A02,1W80H9Z462398,1979,CHEVROLET,EL CAMINO
A20,2G1WF52E939162971,2003,CHEVROLET,IMPALA
A28,1G1ND52J63M554467,2003,CHEVROLET,MALIBU
A19,3GNDA33P67S592426,2007,CHEVROLET,HHR
A22,2G1WT58K369183440,2006,CHEVROLET,IMPALA
A19,3GNDA23P16S630931,2006,CHEVROLET,HHR
A21,1G1ZT61876F149820,2006,CHEVROLET,MALIBU
A19,2G1WW12E519237302,2001,CHEVROLET,MONTE CAR
A29,2G1WL52M0T9120835,1996,CHEVROLET,LUMINACAR
A27,2G1WF52E739348458,2003,CHEVROLET,IMPALA
A27,1G1ND52J93M689510,2003,CHEVROLET,MALIBU
A26,1GNDV33L76D161660,2006,CHEVROLET,UPLANDER
A29,2G1WL52J6Y1221633,2000,CHEVROLET,LUMINACAR
A28,3GNDA23D36S505807,2006,CHEVROLET,HHR
A27,2G1WW12E729146002,2002,CHEVROLET,MONTE CAR
A27,2G1WL52J811259015,2001,CHEVROLET,LUMINACAR
A23,2G1WH55K429111209,2002,CHEVROLET,IMPALA
A24,1G1AP8774CL130182,1982,CHEVROLET,CAMARO
A28,1G1ND52F64M698467,2004,CHEVROLET,MALIBUNEW
A29,1GNDV23L96D160973,2006,CHEVROLET,UPLANDER
A22,1GNDX03E5YD309379,2000,CHEVROLET,VENTURE
A22,3GNCA23D08S719491,2008,CHEVROLET,HHR
A25,2G1WF5EK2B1234740,2011,CHEVROLET,IMPALA
A19,1G1JC524117177280,2001,CHEVROLET,CAVALIER
A28,2G1WF55E229101424,2002,CHEVROLET,IMPALA
A26,2G1AW84T2L2107312,1990,CHEVROLET,CELEBRITY
A19,1G1ND52F74M575812,2004,CHEVROLET,MALIBUNEW
A28,KL1TD52654B123116,2004,CHEVROLET,AVEO
